Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,400,1077,Rewatered  drought,-0.679217263,0.043688178,421.5058489,0.67600706,0.291025733,6,0,1.420000017,16.96769714,18.35883141,16.09658241,399.3473816,400.471283,13.81838131,14.39132309,71.37273407,74.33200836,300.3839111,0.01359426
E. globulus,17/01/2011,1,Amb,400,1077,Rewatered  drought,-0.637032442,0.043532143,419.9328516,0.676006384,0.290017048,6,0,1.420000017,16.96813774,18.35782814,16.09685516,399.350769,400.3913269,13.81903172,14.39002419,71.37397766,74.32310486,300.3651123,0.033662595
E. globulus,17/01/2011,1,Amb,400,1079,Well watered,-0.519779477,0.049483537,413.2347405,0.608698047,0.29572028,6,0,1.420000017,16.91235161,18.26609802,16.09703636,399.1282349,399.9303894,14.35909462,14.9410677,74.42220306,77.43852997,300.3251343,0.096454464
E. globulus,17/01/2011,1,Amb,400,1079,Well watered,-0.541786146,0.049442458,413.9876359,0.608514263,0.29539306,6,0,1.420000017,16.91218948,18.26473808,16.09666824,399.0920715,399.9384766,14.35973454,14.94108295,74.42640686,77.43952942,300.315155,0.078975126
E. globulus,17/01/2011,1,Amb,400,1079,Well watered,-0.518290232,0.049548328,413.1395167,0.608372636,0.295933487,6,0,1.420000017,16.91221619,18.26421165,16.09635162,399.1047974,399.9038696,14.35928154,14.94170856,74.42440033,77.44312286,300.3072205,0.048550557
E. globulus,17/01/2011,1,Amb,400,1079,Well watered,-0.513391876,0.049356559,413.0345384,0.608873133,0.295071232,6,0,1.420000017,16.91225433,18.26682663,16.09663391,399.1102905,399.900238,14.3595438,14.94025326,74.42513275,77.43492889,300.3182983,0.031072324
E. globulus,17/01/2011,1,Amb,400,1079,Well watered,-0.522198435,0.049444505,413.3064358,0.608535082,0.295414973,6,0,1.420000017,16.91218185,18.26443481,16.09616089,399.1001587,399.9073792,14.35912704,14.94048214,74.42326355,77.43641663,300.3341675,0.02200965
E. globulus,17/01/2011,1,Amb,400,1081,Well watered,-0.73296112,0.024353421,444.8131464,0.676469835,0.16451268,6,0,1.420000017,16.92990303,18.3528614,16.09624672,399.2546387,400.5868225,14.05510616,14.37893009,72.76889801,74.44546509,300.435791,-0.036898538
E. globulus,17/01/2011,1,Amb,400,1081,Well watered,-0.746694481,0.024305975,445.8113926,0.675768441,0.164026243,6,0,1.420000017,16.93043518,18.34835243,16.09678268,399.2140808,400.5743713,14.05696297,14.37989712,72.77635193,74.44825745,300.3724976,-0.048550602
E. globulus,17/01/2011,1,Amb,400,1081,Well watered,-0.760423565,0.024389612,446.5676679,0.674764652,0.164337291,6,0,1.420000017,16.92986679,18.34189987,16.09654617,399.1949768,400.5825806,14.05789185,14.38147068,72.7832489,74.45853424,300.342041,-0.034956738
E. globulus,17/01/2011,1,Amb,400,1081,Well watered,-0.779952105,0.02438916,447.876286,0.674311269,0.16422434,6,0,1.420000017,16.92987823,18.33923149,16.09661865,399.1676025,400.5944214,14.05913639,14.38251877,72.78934479,74.46361542,300.317627,-0.022009814
E. globulus,17/01/2011,1,Amb,400,1081,Well watered,-0.788210557,0.024420072,448.3489154,0.674137448,0.164386543,6,0,1.420000017,16.9294014,18.33782768,16.0966301,399.1407776,400.5840759,14.05867958,14.38240528,72.78913116,74.46522522,300.2954712,-0.013594367
E. globulus,17/01/2011,1,Amb,400,1082,Sustained drought,-0.433036694,0.002482635,671.8439852,0.875879965,0.022022527,6,0,1.420000017,16.87328339,18.15756226,16.09626198,399.1138306,399.9616699,12.08980846,12.13328743,62.81247711,63.03836823,300.2185669,0.106810741
E. globulus,17/01/2011,1,Amb,400,1082,Sustained drought,-0.410152602,0.002579536,647.2926695,0.875446137,0.022869173,6,0,1.420000017,16.87315178,18.15611267,16.09632492,399.1304932,399.9319458,12.0905447,12.13569641,62.81692505,63.05151367,300.2097473,0.115224652
