Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,CiCa
E. globulus,2011/01/17,1,Elv,400,1033,Well watered,7.185886868,0.164783616,297.9505232,4.395401423,2.849403575,6,0,,32.94990158,34.84251404,32.10204697,401.480835,390.8141785,22.40810204,27.528862,44.43069077,54.58411026,500.8320313,1999.526489,0.762384119
E. globulus,2011/01/17,1,Elv,400,1033,Well watered,7.168943863,0.165390385,298.3258756,4.416811835,2.853783497,6,0,,32.95219421,34.85913849,32.10240173,401.4420166,390.7859802,22.39112091,27.53668785,44.39131546,54.59260941,500.8413086,1999.364624,0.763399637
E. globulus,2011/01/17,1,Elv,400,1033,Well watered,7.154486203,0.165931448,298.6877436,4.434049285,2.856492318,6,0,,32.95475388,34.86998749,32.10237503,401.4387512,390.7919922,22.37774658,27.54333115,44.35840225,54.59790421,500.8440857,1999.202881,0.764313879
E. globulus,2011/01/17,1,Elv,400,1034,Well watered,12.00026769,0.272528284,290.2588405,5.075656888,2.120596277,6,0,,32.32017899,33.41588593,32.05304337,400.6999512,383.9862976,24.72299767,30.61832047,50.6626358,62.74339294,500.761261,2000.504883,0.755909371
E. globulus,2011/01/17,1,Elv,400,1034,Well watered,11.94674444,0.274021707,291.1262923,5.085050535,2.114963574,6,0,,32.31428146,33.38799286,32.05424118,400.7429199,384.0892029,24.68712997,30.59324837,50.60691452,62.71405029,500.7839661,2000.700684,0.757965311
E. globulus,2011/01/17,1,Elv,400,1034,Well watered,11.69903418,0.27340559,292.6497012,5.071873391,2.11353704,6,0,,32.31127548,33.37785721,32.05518723,400.4508972,384.0999756,24.68696022,30.57786369,50.61561966,62.69372559,500.7842712,2000.809448,0.761910231
E. globulus,2011/01/17,1,Elv,400,1034,Well watered,11.62154356,0.27355242,293.2017676,5.074584819,2.113762856,6,0,,32.30880737,33.37461472,32.05543137,400.3565979,384.0976563,24.67185783,30.5658493,50.5922699,62.67852783,500.7956848,2000.9021,0.763352139
E. globulus,2011/01/17,1,Elv,400,1034,Well watered,11.73968301,0.273910773,292.4775987,5.078421175,2.113085702,6,0,,32.30620956,33.36846542,32.05610275,400.473938,384.0713501,24.65592384,30.55461884,50.56732178,62.66506577,500.7804565,2000.988403,0.761518917
E. globulus,2011/01/17,1,Elv,400,1035,Sustained drought,2.246452883,0.015537943,148.8908025,0.533797938,3.331085424,6,0,,32.51025391,34.80800247,32.0984993,400.4881897,397.54245,21.98713875,22.61222458,44.66367722,45.93344879,500.7897034,1997.84082,0.37452806
E. globulus,2011/01/17,1,Elv,400,1035,Sustained drought,1.921395339,0.015719516,183.9707887,0.540355753,3.333433465,6,0,,32.51488495,34.81644058,32.0994873,400.0947266,397.5353394,21.98212624,22.61488533,44.64187622,45.92689514,500.7931213,1998.580811,0.462778451
E. globulus,2011/01/17,1,Elv,400,1035,Sustained drought,1.874512286,0.016040508,192.3358971,0.552112093,3.33848374,6,0,,32.51856613,34.83212662,32.10020828,400.0303955,397.5216064,21.96638489,22.61290741,44.60089111,45.91360092,500.7966919,1999.018311,0.483837593
E. globulus,2011/01/17,1,Elv,400,1035,Sustained drought,1.792501482,0.01617422,201.7226972,0.557545312,3.343675093,6,0,,32.52303696,34.84757614,32.10042191,399.8692017,397.4561462,21.95622635,22.60910797,44.56869507,45.8939743,500.8010864,1998.711914,0.507534477
E. globulus,2011/01/17,1,Elv,400,1035,Sustained drought,1.748098291,0.015440802,198.0211622,0.533074889,3.346980957,6,0,,32.52840424,34.85727692,32.10057831,399.795929,397.4477844,21.98217773,22.60639191,44.60744095,45.87413406,500.8127136,1998.358643,0.498231894
